Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2024-12-04 00:00:00,95989.3671875,96048.5,95872.796875,95936.109375,9601024
2024-12-04 00:30:00,95804.5625,96052.0703125,95672.2734375,96004.984375,98598912
2024-12-04 01:00:00,95800.8203125,95821.3046875,95604.1875,95821.3046875,199692288
2024-12-04 01:30:00,96306.546875,96648.71875,95806.875,95806.875,1050345472
2024-12-04 02:00:00,95707.78125,96306.7890625,95458.2421875,96306.7890625,453730304
2024-12-04 02:30:00,95859.9765625,95859.9765625,95570.265625,95647.671875,524849152
2024-12-04 03:00:00,95830.65625,95961.5625,95676.234375,95850.7578125,98054144
2024-12-04 03:30:00,95838.09375,95922.953125,95822.203125,95863.921875,473874432
2024-12-04 04:00:00,95917.4765625,95963.640625,95804.53125,95841.546875,12443648
2024-12-04 04:30:00,95961.90625,95961.90625,95868.8984375,95888.5859375,37765120
2024-12-04 05:00:00,96465.6953125,96465.6953125,96052.09375,96052.09375,370679808
2024-12-04 05:30:00,96536.6171875,96537.640625,96407.6640625,96478.953125,166731776
2024-12-04 06:00:00,96642.5390625,96652.6640625,96355.7109375,96556.703125,229433344
2024-12-04 06:30:00,96575.0703125,96753.6875,96550.8515625,96735.09375,292429824
2024-12-04 07:00:00,96609.484375,96639.796875,96498.625,96589.546875,0
2024-12-04 07:30:00,96632.0390625,96737.59375,96533.90625,96618.484375,16064512
2024-12-04 08:00:00,96656.7578125,96805.84375,96643.3125,96662.9765625,54951936
2024-12-04 08:30:00,96774.6015625,96880.140625,96618.7890625,96645.1015625,188014592
2024-12-04 09:00:00,96941.65625,96993.78125,96769.0625,96769.0625,256098304
2024-12-04 09:30:00,96882.9140625,97016.8984375,96869.4609375,96925.515625,188153856
2024-12-04 10:00:00,96776.6171875,96898.609375,96747.3359375,96875.359375,69492736
2024-12-04 10:30:00,96534.546875,96805.03125,96520.2265625,96767.6328125,123322368
2024-12-04 11:00:00,96435.9453125,96579.2265625,96413.84375,96579.2265625,0
2024-12-04 11:30:00,96302.8671875,96528.4921875,96258.8515625,96433.65625,0
2024-12-04 12:00:00,95999.8359375,96320.34375,95862.09375,96256.3203125,303964160
2024-12-04 12:30:00,95990.46875,96046.984375,95910.8125,95961.6875,299823104
2024-12-04 13:00:00,95766.3359375,96048.6640625,95764.8203125,96015.8515625,36962304
2024-12-04 13:30:00,95746.6875,95837.234375,95496.921875,95706.6484375,7081984
